Ref position,Entropy,Gene,Is silent
241,0.7335138247713471,Non-coding,True
1059,0.6879271376667638,YP_009724389.1: ORF1ab polyprotein,False
1163,0.2861356449818601,YP_009724389.1: ORF1ab polyprotein,False
2480,0.172011743192041,YP_009724389.1: ORF1ab polyprotein,False
2558,0.1798397824183032,YP_009724389.1: ORF1ab polyprotein,False
3037,0.7428395516756908,YP_009724389.1: ORF1ab polyprotein,True
7540,0.2655003885137427,YP_009724389.1: ORF1ab polyprotein,True
8782,0.354762769366431,YP_009724389.1: ORF1ab polyprotein,True
10097,0.25319635023763987,YP_009724389.1: ORF1ab polyprotein,False
11083,0.5017633845868035,YP_009724389.1: ORF1ab polyprotein,False
14408,0.7436125000330381,YP_009724389.1: ORF1ab polyprotein,False
14805,0.4025597137788478,YP_009724389.1: ORF1ab polyprotein,True
16647,0.2697813698980823,YP_009724389.1: ORF1ab polyprotein,True
17747,0.17965627499325643,YP_009724389.1: ORF1ab polyprotein,False
17858,0.1768898916403329,YP_009724389.1: ORF1ab polyprotein,False
18060,0.18421559470920604,YP_009724389.1: ORF1ab polyprotein,True
18555,0.2740390204331483,YP_009724389.1: ORF1ab polyprotein,True
18877,0.20137303999665077,YP_009724389.1: ORF1ab polyprotein,True
19839,0.18955885641899556,YP_009724389.1: ORF1ab polyprotein,True
20268,0.32290302357657263,YP_009724389.1: ORF1ab polyprotein,True
22992,0.27049274239360394,YP_009724390.1: surface glycoprotein,False
23401,0.27197321412734676,YP_009724390.1: surface glycoprotein,True
23403,0.7426862427646882,YP_009724390.1: surface glycoprotein,False
23731,0.24943266891779547,YP_009724390.1: surface glycoprotein,True
25563,0.795118659281902,YP_009724391.1: ORF3a protein,False
26144,0.342818472208633,YP_009724391.1: ORF3a protein,False
27964,0.17372972349750077,YP_009724396.1: ORF8 protein,False
28144,0.35203022376906906,YP_009724396.1: ORF8 protein,False
28854,0.19016352469349465,YP_009724397.2: nucleocapsid phosphoprotein,False
28881,0.9594337522021675,YP_009724397.2: nucleocapsid phosphoprotein,False
28882,0.9578717873516018,YP_009724397.2: nucleocapsid phosphoprotein,True
28883,0.9556067103498593,YP_009724397.2: nucleocapsid phosphoprotein,False
